Region/Country/Area,Name,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"313,147",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP in current prices (millions of US dollars),"356,325",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),"384,242",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),"407,967",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP per capita (US dollars),318,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP per capita (US dollars),393,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP per capita (US dollars),643,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP per capita (US dollars),806,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP per capita (US dollars),869,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP per capita (US dollars),912,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP per capita (US dollars),943,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"106,353",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"159,151",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"230,865",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"313,147",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP in constant 2010 prices (millions of US dollars),"347,164",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"368,029",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"386,614",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP real rates of growth (percent),8.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"36,081",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"99,548",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"189,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"238,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2017,GDP in current prices (millions of US dollars),"245,763",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2018,GDP in current prices (millions of US dollars),"244,834",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2019,GDP in current prices (millions of US dollars),"225,405",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP per capita (US dollars),431,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP per capita (US dollars),889,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2010,GDP per capita (US dollars),"1,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2015,GDP per capita (US dollars),"1,544",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2017,GDP per capita (US dollars),"1,498",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2018,GDP per capita (US dollars),"1,448",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2019,GDP per capita (US dollars),"1,293",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP in constant 2010 prices (millions of US dollars),"84,257",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP in constant 2010 prices (millions of US dollars),"138,996",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
